1: n = 7 m = 3, ms = 12, mst = a[0..3][0..1]
1542: n = 2 m = 4, ms = 9, mst = a[0..1][0..1]
1543: n = 3 m = 7, ms = 19, mst = a[1..2][0..4]
1544: n = 3 m = 5, ms = 14, mst = a[0..2][1..2]
1545: n = 8 m = 6, ms = 13, mst = a[0..5][0..0]
1546: n = 4 m = 8, ms = 14, mst = a[1..3][0..4]
1547: n = 7 m = 10, ms = 19, mst = a[0..5][0..2]
1548: n = 8 m = 10, ms = 23, mst = a[0..2][5..9]
1549: n = 2 m = 6, ms = 4, mst = a[1..1][3..5]
1550: n = 7 m = 8, ms = 31, mst = a[0..6][0..5]
1551: n = 2 m = 4, ms = 6, mst = a[0..0][2..3]
1552: n = 2 m = 3, ms = 12, mst = a[0..1][0..2]
1553: n = 8 m = 5, ms = 19, mst = a[2..7][0..2]
1554: n = 8 m = 7, ms = 20, mst = a[3..7][1..6]
1555: n = 2 m = 3, ms = 1, mst = a[0..0][0..0]
1556: n = 7 m = 7, ms = 10, mst = a[4..6][4..6]
1557: n = 3 m = 2, ms = 5, mst = a[0..2][0..0]
1558: n = 2 m = 5, ms = 4, mst = a[0..0][2..3]
1559: n = 8 m = 7, ms = 16, mst = a[3..4][1..4]
1560: n = 6 m = 3, ms = 4, mst = a[0..0][1..1]
1561: n = 2 m = 1, ms = 0, mst = a[0..0][0..0]
1562: n = 10 m = 1, ms = 5, mst = a[5..7][0..0]
1563: n = 5 m = 5, ms = 19, mst = a[1..4][0..4]
1564: n = 4 m = 8, ms = 10, mst = a[0..3][5..6]
1565: n = 7 m = 7, ms = 11, mst = a[4..5][3..6]
1566: n = 8 m = 2, ms = 9, mst = a[4..6][1..1]
1567: n = 10 m = 5, ms = 26, mst = a[0..7][0..4]
1568: n = 1 m = 3, ms = 1, mst = a[0..0][0..0]
1569: n = 10 m = 1, ms = 5, mst = a[3..6][0..0]
1570: n = 4 m = 7, ms = 17, mst = a[0..3][1..3]
1571: n = 9 m = 9, ms = 24, mst = a[0..2][3..7]
1572: n = 1 m = 4, ms = 4, mst = a[0..0][0..1]
1573: n = 5 m = 7, ms = 7, mst = a[1..3][4..4]
1574: n = 3 m = 7, ms = 11, mst = a[0..0][2..6]
1575: n = 8 m = 5, ms = 9, mst = a[0..0][0..2]
1576: n = 5 m = 3, ms = 4, mst = a[1..1][1..1]
1577: n = 6 m = 4, ms = 17, mst = a[0..5][1..3]
1578: n = 7 m = 3, ms = 8, mst = a[1..6][1..2]
1579: n = 10 m = 9, ms = 53, mst = a[1..9][0..8]
1580: n = 7 m = 8, ms = 30, mst = a[1..6][0..3]
1581: n = 1 m = 6, ms = 4, mst = a[0..0][1..1]
1582: n = 5 m = 2, ms = 7, mst = a[3..4][0..1]
1583: n = 5 m = 1, ms = 7, mst = a[2..4][0..0]
1584: n = 6 m = 10, ms = 25, mst = a[0..5][1..9]
1585: n = 1 m = 6, ms = 3, mst = a[0..0][0..0]
1586: n = 7 m = 7, ms = 25, mst = a[0..6][2..6]
1587: n = 2 m = 7, ms = 4, mst = a[1..1][1..1]
1588: n = 1 m = 7, ms = 7, mst = a[0..0][2..5]
1589: n = 1 m = 9, ms = 9, mst = a[0..0][2..6]
1590: n = 8 m = 5, ms = 15, mst = a[1..2][1..3]
1591: n = 4 m = 7, ms = 20, mst = a[0..3][0..5]
1592: n = 6 m = 6, ms = 12, mst = a[1..2][3..5]
1593: n = 9 m = 10, ms = 30, mst = a[0..4][3..9]
1594: n = 5 m = 10, ms = 19, mst = a[0..4][4..6]
1595: n = 10 m = 1, ms = 3, mst = a[2..2][0..0]
1596: n = 3 m = 5, ms = 13, mst = a[0..1][1..3]
1597: n = 10 m = 5, ms = 12, mst = a[8..9][0..2]
1598: n = 8 m = 5, ms = 16, mst = a[0..7][2..4]
1599: n = 5 m = 6, ms = 16, mst = a[0..4][2..5]
1600: n = 6 m = 9, ms = 22, mst = a[1..4][0..2]
1601: n = 6 m = 8, ms = 20, mst = a[0..1][0..6]
1602: n = 7 m = 3, ms = 18, mst = a[0..6][0..1]
1603: n = 3 m = 1, ms = 0, mst = a[0..0][0..0]
1604: n = 8 m = 9, ms = 21, mst = a[1..6][1..7]
1605: n = 7 m = 7, ms = 17, mst = a[1..6][2..4]
1606: n = 1 m = 9, ms = 10, mst = a[0..0][2..5]
1607: n = 6 m = 1, ms = 6, mst = a[2..4][0..0]
1608: n = 8 m = 5, ms = 22, mst = a[1..7][0..0]
1609: n = 6 m = 4, ms = 5, mst = a[0..1][0..1]
1610: n = 4 m = 6, ms = 11, mst = a[0..3][4..5]
1611: n = 5 m = 4, ms = 4, mst = a[3..3][0..2]
1612: n = 3 m = 2, ms = 5, mst = a[1..2][1..1]
1613: n = 7 m = 5, ms = 21, mst = a[1..5][1..4]
1614: n = 1 m = 5, ms = 3, mst = a[0..0][2..3]
1615: n = 7 m = 9, ms = 28, mst = a[0..4][3..7]
1616: n = 6 m = 6, ms = 22, mst = a[0..4][1..5]
1617: n = 8 m = 9, ms = 12, mst = a[0..3][1..6]
1618: n = 5 m = 8, ms = 30, mst = a[1..3][1..4]
1619: n = 6 m = 7, ms = 14, mst = a[0..5][1..6]
1620: n = 3 m = 10, ms = 36, mst = a[0..1][0..8]
1621: n = 10 m = 9, ms = 40, mst = a[4..9][0..7]
1622: n = 6 m = 2, ms = 3, mst = a[0..0][0..1]
1623: n = 6 m = 10, ms = 18, mst = a[0..5][3..4]
1624: n = 10 m = 9, ms = 32, mst = a[6..9][1..7]
1625: n = 9 m = 5, ms = 15, mst = a[0..1][1..3]
1626: n = 6 m = 8, ms = 33, mst = a[0..3][1..6]
1627: n = 10 m = 9, ms = 14, mst = a[1..9][2..3]
1628: n = 1 m = 1, ms = 4, mst = a[0..0][0..0]
1629: n = 7 m = 10, ms = 35, mst = a[0..6][4..8]
1630: n = 6 m = 9, ms = 51, mst = a[2..5][0..6]
1631: n = 2 m = 9, ms = 12, mst = a[1..1][3..5]
1632: n = 4 m = 3, ms = 10, mst = a[0..1][1..2]
1633: n = 1 m = 5, ms = 0, mst = a[0..0][0..0]
1634: n = 4 m = 2, ms = 1, mst = a[0..0][1..1]
1635: n = 3 m = 2, ms = 4, mst = a[2..2][1..1]
1636: n = 8 m = 7, ms = 14, mst = a[0..7][4..6]
1637: n = 7 m = 4, ms = 16, mst = a[0..5][1..3]
1638: n = 8 m = 5, ms = 17, mst = a[0..3][0..3]
1639: n = 4 m = 6, ms = 13, mst = a[2..3][0..1]
1640: n = 9 m = 9, ms = 22, mst = a[0..8][1..5]
1641: n = 3 m = 10, ms = 7, mst = a[0..2][5..6]
1642: n = 6 m = 4, ms = 35, mst = a[0..5][0..3]
1643: n = 7 m = 1, ms = 4, mst = a[3..3][0..0]
1644: n = 2 m = 8, ms = 6, mst = a[0..1][1..3]
1645: n = 1 m = 9, ms = 4, mst = a[0..0][3..4]
1646: n = 3 m = 5, ms = 6, mst = a[1..2][2..3]
1647: n = 6 m = 6, ms = 16, mst = a[0..5][3..5]
1648: n = 10 m = 5, ms = 21, mst = a[7..9][0..3]
1649: n = 5 m = 8, ms = 9, mst = a[0..4][3..4]
1650: n = 6 m = 2, ms = 9, mst = a[0..2][0..1]
1651: n = 10 m = 8, ms = 25, mst = a[0..9][0..3]
1652: n = 2 m = 4, ms = 9, mst = a[0..0][0..3]
1653: n = 1 m = 5, ms = 8, mst = a[0..0][0..2]
1654: n = 9 m = 8, ms = 25, mst = a[2..6][0..3]
1655: n = 1 m = 9, ms = 5, mst = a[0..0][6..8]
1656: n = 4 m = 10, ms = 10, mst = a[0..2][5..9]
1657: n = 4 m = 2, ms = 3, mst = a[1..3][0..0]
1658: n = 10 m = 9, ms = 27, mst = a[5..8][1..8]
1659: n = 10 m = 7, ms = 35, mst = a[0..9][0..4]
1660: n = 3 m = 8, ms = 6, mst = a[1..2][0..0]
1661: n = 2 m = 6, ms = 6, mst = a[0..1][2..2]
1662: n = 9 m = 1, ms = 4, mst = a[0..0][0..0]
1663: n = 8 m = 9, ms = 24, mst = a[0..5][0..5]
1664: n = 6 m = 6, ms = 12, mst = a[0..4][2..2]
1665: n = 10 m = 7, ms = 31, mst = a[0..8][0..4]
1666: n = 4 m = 5, ms = 10, mst = a[1..3][3..3]
1667: n = 2 m = 8, ms = 4, mst = a[1..1][4..4]
1668: n = 9 m = 4, ms = 18, mst = a[5..8][0..2]
1669: n = 9 m = 8, ms = 18, mst = a[5..7][2..7]
1670: n = 1 m = 9, ms = 4, mst = a[0..0][7..7]
1671: n = 5 m = 10, ms = 15, mst = a[1..4][5..9]
1672: n = 10 m = 9, ms = 43, mst = a[0..8][0..7]
1673: n = 9 m = 7, ms = 27, mst = a[5..8][1..6]
1674: n = 7 m = 4, ms = 19, mst = a[0..5][0..2]
1675: n = 7 m = 6, ms = 41, mst = a[0..5][0..4]
1676: n = 2 m = 6, ms = 12, mst = a[0..0][0..5]
1677: n = 6 m = 9, ms = 34, mst = a[0..5][3..8]
1678: n = 7 m = 10, ms = 34, mst = a[2..6][1..6]
1679: n = 2 m = 2, ms = 3, mst = a[0..1][0..0]
1680: n = 9 m = 2, ms = 3, mst = a[3..3][1..1]
1681: n = 7 m = 7, ms = 21, mst = a[1..3][0..2]
1682: n = 9 m = 4, ms = 7, mst = a[3..4][0..0]
1683: n = 6 m = 9, ms = 9, mst = a[1..3][6..6]
1684: n = 6 m = 8, ms = 11, mst = a[3..5][1..3]
1685: n = 5 m = 8, ms = 15, mst = a[1..4][4..5]
1686: n = 9 m = 6, ms = 11, mst = a[3..6][0..0]
1687: n = 9 m = 10, ms = 16, mst = a[2..8][1..5]
1688: n = 7 m = 9, ms = 18, mst = a[1..2][2..8]
1689: n = 6 m = 2, ms = 10, mst = a[2..5][0..0]
1690: n = 6 m = 7, ms = 23, mst = a[0..2][1..5]
1691: n = 6 m = 5, ms = 12, mst = a[0..5][0..1]
1692: n = 6 m = 9, ms = 16, mst = a[2..5][1..4]
1693: n = 2 m = 4, ms = 2, mst = a[1..1][1..1]
1694: n = 6 m = 5, ms = 14, mst = a[0..5][4..4]
1695: n = 7 m = 3, ms = 11, mst = a[0..4][0..1]
1696: n = 4 m = 9, ms = 16, mst = a[0..3][0..6]
1697: n = 4 m = 5, ms = 12, mst = a[1..3][1..4]
1698: n = 3 m = 7, ms = 6, mst = a[1..2][5..5]
1699: n = 4 m = 8, ms = 28, mst = a[0..3][1..7]
1700: n = 5 m = 6, ms = 11, mst = a[0..3][2..3]
1701: n = 7 m = 6, ms = 17, mst = a[0..6][0..3]
1702: n = 6 m = 6, ms = 20, mst = a[0..4][0..4]
1703: n = 7 m = 9, ms = 20, mst = a[2..3][0..8]
1704: n = 2 m = 4, ms = 10, mst = a[0..1][1..2]
1705: n = 9 m = 3, ms = 11, mst = a[7..8][0..2]
1706: n = 3 m = 10, ms = 11, mst = a[0..1][8..9]
1707: n = 9 m = 7, ms = 14, mst = a[4..8][6..6]
1708: n = 8 m = 8, ms = 15, mst = a[0..6][4..7]
1709: n = 6 m = 9, ms = 29, mst = a[0..5][5..8]
1710: n = 6 m = 3, ms = 13, mst = a[0..3][0..1]
1711: n = 1 m = 2, ms = 2, mst = a[0..0][1..1]
1712: n = 3 m = 6, ms = 12, mst = a[0..1][1..5]
1713: n = 4 m = 10, ms = 12, mst = a[2..3][5..8]
1714: n = 4 m = 3, ms = 7, mst = a[1..3][1..1]
1715: n = 10 m = 5, ms = 10, mst = a[6..8][0..2]
1716: n = 8 m = 2, ms = 6, mst = a[4..5][0..1]
1717: n = 1 m = 3, ms = 3, mst = a[0..0][2..2]
1718: n = 6 m = 5, ms = 16, mst = a[0..4][3..4]
1719: n = 9 m = 5, ms = 14, mst = a[2..8][3..3]
1720: n = 8 m = 8, ms = 27, mst = a[0..6][3..6]
1721: n = 5 m = 5, ms = 15, mst = a[1..3][0..2]
1722: n = 5 m = 7, ms = 11, mst = a[0..1][5..6]
1723: n = 10 m = 10, ms = 30, mst = a[1..7][5..9]
1724: n = 8 m = 6, ms = 17, mst = a[0..3][1..3]
1725: n = 2 m = 5, ms = 7, mst = a[0..1][4..4]
1726: n = 8 m = 2, ms = 17, mst = a[3..6][0..1]
1727: n = 4 m = 9, ms = 10, mst = a[1..3][1..3]
1728: n = 2 m = 9, ms = 23, mst = a[0..1][4..8]
1729: n = 7 m = 2, ms = 7, mst = a[6..6][0..1]
1730: n = 1 m = 10, ms = 3, mst = a[0..0][1..2]
1731: n = 3 m = 10, ms = 16, mst = a[0..2][4..7]
1732: n = 1 m = 10, ms = 7, mst = a[0..0][0..4]
1733: n = 4 m = 1, ms = 8, mst = a[0..3][0..0]
1734: n = 2 m = 10, ms = 10, mst = a[0..1][5..8]
1735: n = 4 m = 7, ms = 4, mst = a[0..0][2..2]
1736: n = 6 m = 6, ms = 14, mst = a[3..4][1..5]
1737: n = 5 m = 7, ms = 14, mst = a[0..1][3..5]
1738: n = 9 m = 9, ms = 27, mst = a[3..8][1..7]
1739: n = 6 m = 3, ms = 3, mst = a[1..1][2..2]
1740: n = 5 m = 3, ms = 11, mst = a[2..4][0..1]
1741: n = 3 m = 10, ms = 21, mst = a[0..2][1..9]
1742: n = 2 m = 10, ms = 10, mst = a[0..1][0..1]
1743: n = 4 m = 5, ms = 13, mst = a[0..3][0..2]
1744: n = 7 m = 10, ms = 38, mst = a[0..6][0..9]
1745: n = 2 m = 5, ms = 20, mst = a[0..1][1..4]
1746: n = 2 m = 4, ms = 6, mst = a[0..1][1..3]
1747: n = 3 m = 8, ms = 4, mst = a[0..0][6..7]
1748: n = 9 m = 8, ms = 16, mst = a[6..7][2..6]
1749: n = 5 m = 5, ms = 6, mst = a[0..0][1..4]
1750: n = 1 m = 7, ms = 8, mst = a[0..0][3..6]
1751: n = 5 m = 6, ms = 8, mst = a[3..4][0..2]
1752: n = 4 m = 2, ms = 0, mst = a[1..1][0..0]
1753: n = 7 m = 2, ms = 4, mst = a[4..4][0..0]
1754: n = 8 m = 9, ms = 41, mst = a[0..7][0..8]
1755: n = 1 m = 5, ms = 9, mst = a[0..0][1..3]
1756: n = 7 m = 5, ms = 17, mst = a[3..4][0..4]
1757: n = 8 m = 6, ms = 22, mst = a[0..2][0..4]
1758: n = 9 m = 4, ms = 12, mst = a[0..3][0..2]
1759: n = 8 m = 10, ms = 26, mst = a[0..2][0..9]
1760: n = 9 m = 3, ms = 24, mst = a[0..8][0..2]
1761: n = 10 m = 6, ms = 11, mst = a[0..6][0..0]
1762: n = 7 m = 7, ms = 18, mst = a[1..5][1..6]
1763: n = 10 m = 9, ms = 18, mst = a[0..1][3..8]
1764: n = 7 m = 9, ms = 21, mst = a[2..6][4..7]
1765: n = 5 m = 2, ms = 12, mst = a[0..3][0..1]
1766: n = 8 m = 1, ms = 5, mst = a[0..3][0..0]
1767: n = 6 m = 10, ms = 24, mst = a[1..4][1..9]
1768: n = 1 m = 7, ms = 4, mst = a[0..0][3..5]
1769: n = 1 m = 7, ms = 7, mst = a[0..0][4..5]
1770: n = 10 m = 3, ms = 9, mst = a[0..3][2..2]
1771: n = 8 m = 1, ms = 2, mst = a[3..3][0..0]
1772: n = 7 m = 2, ms = 7, mst = a[3..5][1..1]
1773: n = 8 m = 8, ms = 13, mst = a[4..4][4..7]
1774: n = 6 m = 3, ms = 21, mst = a[0..5][0..2]
1775: n = 9 m = 8, ms = 29, mst = a[2..8][4..7]
1776: n = 1 m = 5, ms = 13, mst = a[0..0][1..4]
1777: n = 8 m = 2, ms = 13, mst = a[0..6][0..1]
1778: n = 10 m = 2, ms = 9, mst = a[7..9][0..1]
1779: n = 2 m = 1, ms = 0, mst = a[1..1][0..0]
1780: n = 6 m = 9, ms = 15, mst = a[2..4][3..7]
1781: n = 9 m = 8, ms = 21, mst = a[6..8][0..6]
1782: n = 6 m = 5, ms = 14, mst = a[3..5][1..3]
1783: n = 6 m = 9, ms = 14, mst = a[0..0][0..8]
1784: n = 1 m = 5, ms = 0, mst = a[0..0][0..0]
1785: n = 4 m = 8, ms = 18, mst = a[0..2][1..7]
1786: n = 10 m = 10, ms = 20, mst = a[6..8][0..3]
1787: n = 4 m = 5, ms = 9, mst = a[0..3][1..1]
1788: n = 6 m = 8, ms = 17, mst = a[0..4][0..2]
1789: n = 9 m = 3, ms = 7, mst = a[0..4][0..1]
1790: n = 6 m = 7, ms = 14, mst = a[0..2][0..5]
1791: n = 1 m = 5, ms = 0, mst = a[0..0][0..0]
1792: n = 8 m = 2, ms = 16, mst = a[2..7][0..0]
1793: n = 1 m = 7, ms = 11, mst = a[0..0][0..5]
1794: n = 3 m = 4, ms = 11, mst = a[0..2][1..3]
1795: n = 3 m = 9, ms = 11, mst = a[0..0][3..8]
1796: n = 1 m = 6, ms = 2, mst = a[0..0][3..5]
1797: n = 4 m = 4, ms = 9, mst = a[2..3][1..3]
1798: n = 8 m = 6, ms = 20, mst = a[2..5][1..3]
1799: n = 8 m = 7, ms = 29, mst = a[1..7][4..6]
1800: n = 2 m = 1, ms = 4, mst = a[0..0][0..0]
1801: n = 5 m = 10, ms = 22, mst = a[0..2][4..9]
1802: n = 4 m = 10, ms = 16, mst = a[1..3][0..4]
1803: n = 10 m = 6, ms = 18, mst = a[1..2][0..5]
1804: n = 5 m = 8, ms = 19, mst = a[0..3][0..4]
1805: n = 7 m = 2, ms = 7, mst = a[1..1][0..1]
1806: n = 9 m = 4, ms = 16, mst = a[1..8][1..1]
1807: n = 5 m = 4, ms = 14, mst = a[2..4][0..2]
1808: n = 7 m = 10, ms = 21, mst = a[3..4][1..6]
1809: n = 5 m = 10, ms = 30, mst = a[0..2][2..9]
1810: n = 2 m = 6, ms = 7, mst = a[0..1][0..1]
1811: n = 10 m = 6, ms = 18, mst = a[2..9][0..4]
1812: n = 10 m = 7, ms = 20, mst = a[0..9][2..6]
1813: n = 6 m = 2, ms = 6, mst = a[0..5][1..1]
1814: n = 9 m = 5, ms = 13, mst = a[3..8][2..3]
1815: n = 3 m = 7, ms = 10, mst = a[2..2][1..4]
1816: n = 8 m = 6, ms = 25, mst = a[0..4][3..5]
1817: n = 5 m = 10, ms = 12, mst = a[1..1][0..7]
1818: n = 6 m = 3, ms = 9, mst = a[0..1][1..2]
1819: n = 9 m = 5, ms = 15, mst = a[0..5][3..3]
1820: n = 1 m = 4, ms = 6, mst = a[0..0][0..1]
1821: n = 9 m = 10, ms = 24, mst = a[0..6][0..3]
1822: n = 8 m = 4, ms = 19, mst = a[4..6][2..3]
1823: n = 8 m = 2, ms = 10, mst = a[2..7][0..1]
1824: n = 9 m = 5, ms = 15, mst = a[0..5][0..1]
1825: n = 3 m = 6, ms = 4, mst = a[0..0][5..5]
1826: n = 4 m = 5, ms = 8, mst = a[3..3][1..2]
1827: n = 7 m = 7, ms = 45, mst = a[1..6][0..6]
1828: n = 9 m = 9, ms = 19, mst = a[0..8][8..8]
1829: n = 6 m = 7, ms = 29, mst = a[0..4][2..4]
1830: n = 9 m = 5, ms = 31, mst = a[4..6][0..4]
1831: n = 8 m = 2, ms = 11, mst = a[6..7][0..1]
1832: n = 9 m = 6, ms = 14, mst = a[2..8][0..3]
1833: n = 4 m = 4, ms = 6, mst = a[0..2][0..0]
1834: n = 10 m = 8, ms = 12, mst = a[7..8][1..3]
1835: n = 3 m = 6, ms = 14, mst = a[0..2][1..3]
1836: n = 7 m = 1, ms = 6, mst = a[0..2][0..0]
1837: n = 1 m = 5, ms = 0, mst = a[0..0][0..0]
1838: n = 8 m = 9, ms = 16, mst = a[6..6][1..6]
1839: n = 7 m = 2, ms = 7, mst = a[4..6][0..1]
1840: n = 2 m = 5, ms = 12, mst = a[0..1][0..2]
1841: n = 9 m = 4, ms = 18, mst = a[0..5][0..3]
1842: n = 7 m = 8, ms = 32, mst = a[0..5][0..4]
1843: n = 8 m = 3, ms = 12, mst = a[3..5][1..2]
1844: n = 1 m = 4, ms = 4, mst = a[0..0][0..0]
1845: n = 3 m = 4, ms = 11, mst = a[0..2][1..3]
1846: n = 9 m = 4, ms = 30, mst = a[0..4][0..3]
1847: n = 5 m = 4, ms = 14, mst = a[1..4][0..3]
1848: n = 1 m = 8, ms = 6, mst = a[0..0][0..3]
1849: n = 5 m = 3, ms = 25, mst = a[0..4][0..2]
1850: n = 2 m = 8, ms = 18, mst = a[0..1][4..7]
1851: n = 10 m = 6, ms = 14, mst = a[2..6][2..3]
1852: n = 5 m = 2, ms = 7, mst = a[0..1][1..1]
1853: n = 8 m = 10, ms = 52, mst = a[0..6][2..9]
1854: n = 3 m = 5, ms = 5, mst = a[0..1][2..3]
1855: n = 4 m = 8, ms = 8, mst = a[0..1][1..2]
1856: n = 3 m = 2, ms = 5, mst = a[0..2][0..0]
1857: n = 1 m = 4, ms = 4, mst = a[0..0][3..3]
1858: n = 7 m = 1, ms = 11, mst = a[0..6][0..0]
1859: n = 9 m = 9, ms = 33, mst = a[1..7][0..8]
1860: n = 6 m = 7, ms = 15, mst = a[1..5][0..3]
1861: n = 3 m = 9, ms = 11, mst = a[1..2][3..6]
1862: n = 1 m = 7, ms = 5, mst = a[0..0][0..1]
1863: n = 2 m = 1, ms = 3, mst = a[0..0][0..0]
1864: n = 9 m = 3, ms = 14, mst = a[1..8][0..0]
1865: n = 5 m = 10, ms = 11, mst = a[1..3][5..9]
1866: n = 8 m = 6, ms = 14, mst = a[0..5][0..2]
1867: n = 4 m = 7, ms = 10, mst = a[0..1][4..6]
1868: n = 4 m = 9, ms = 17, mst = a[0..2][5..8]
1869: n = 7 m = 7, ms = 10, mst = a[0..4][6..6]
1870: n = 4 m = 5, ms = 13, mst = a[1..2][0..3]
1871: n = 4 m = 1, ms = 2, mst = a[1..1][0..0]
1872: n = 10 m = 3, ms = 15, mst = a[0..2][1..2]
1873: n = 4 m = 7, ms = 11, mst = a[1..2][0..2]
1874: n = 5 m = 1, ms = 14, mst = a[0..3][0..0]
1875: n = 4 m = 8, ms = 19, mst = a[2..3][2..7]
1876: n = 1 m = 7, ms = 1, mst = a[0..0][2..2]
1877: n = 5 m = 1, ms = 4, mst = a[0..1][0..0]
1878: n = 9 m = 9, ms = 24, mst = a[4..8][0..4]
1879: n = 8 m = 7, ms = 22, mst = a[3..7][0..6]
1880: n = 9 m = 6, ms = 27, mst = a[0..7][0..5]
1881: n = 9 m = 7, ms = 17, mst = a[1..6][2..5]
1882: n = 3 m = 5, ms = 14, mst = a[0..1][1..3]
1883: n = 7 m = 5, ms = 28, mst = a[0..3][0..4]
1884: n = 1 m = 6, ms = 4, mst = a[0..0][3..3]
1885: n = 7 m = 6, ms = 14, mst = a[0..6][0..5]
1886: n = 5 m = 4, ms = 19, mst = a[2..4][0..3]
1887: n = 6 m = 6, ms = 11, mst = a[1..5][0..1]
1888: n = 8 m = 5, ms = 11, mst = a[0..1][0..4]
1889: n = 7 m = 6, ms = 29, mst = a[0..6][0..5]
1890: n = 9 m = 10, ms = 32, mst = a[0..5][0..6]
1891: n = 2 m = 5, ms = 5, mst = a[1..1][0..1]
1892: n = 4 m = 3, ms = 7, mst = a[3..3][0..1]
1893: n = 5 m = 5, ms = 21, mst = a[0..4][0..4]
1894: n = 8 m = 8, ms = 35, mst = a[2..6][3..7]
1895: n = 8 m = 2, ms = 11, mst = a[4..6][0..1]
1896: n = 4 m = 10, ms = 12, mst = a[0..2][4..5]
1897: n = 2 m = 3, ms = 3, mst = a[0..0][2..2]
1898: n = 6 m = 7, ms = 22, mst = a[2..5][2..6]
1899: n = 4 m = 9, ms = 11, mst = a[1..1][3..6]
1900: n = 5 m = 4, ms = 11, mst = a[0..2][0..2]
1901: n = 8 m = 8, ms = 15, mst = a[0..6][2..3]
1902: n = 10 m = 5, ms = 20, mst = a[1..7][0..1]
1903: n = 2 m = 2, ms = 3, mst = a[0..0][0..0]
1904: n = 5 m = 6, ms = 7, mst = a[2..4][3..3]
1905: n = 8 m = 1, ms = 6, mst = a[1..3][0..0]
1906: n = 10 m = 1, ms = 3, mst = a[0..0][0..0]
1907: n = 6 m = 2, ms = 8, mst = a[2..5][1..1]
1908: n = 8 m = 10, ms = 25, mst = a[0..3][3..6]
1909: n = 1 m = 2, ms = 4, mst = a[0..0][1..1]
1910: n = 3 m = 1, ms = 0, mst is empty
1911: n = 9 m = 9, ms = 12, mst = a[1..4][2..3]
1912: n = 4 m = 3, ms = 8, mst = a[1..3][0..2]
1913: n = 6 m = 2, ms = 10, mst = a[3..5][0..1]
1914: n = 8 m = 6, ms = 20, mst = a[0..6][2..4]
1915: n = 2 m = 9, ms = 4, mst = a[0..0][6..7]
1916: n = 4 m = 7, ms = 14, mst = a[2..3][0..6]
1917: n = 4 m = 2, ms = 5, mst = a[2..2][0..1]
1918: n = 8 m = 1, ms = 1, mst = a[3..3][0..0]
1919: n = 8 m = 1, ms = 8, mst = a[1..7][0..0]
1920: n = 6 m = 5, ms = 9, mst = a[4..4][2..4]
1921: n = 2 m = 1, ms = 5, mst = a[0..1][0..0]
1922: n = 8 m = 9, ms = 21, mst = a[0..3][4..8]
1923: n = 4 m = 1, ms = 3, mst = a[1..1][0..0]
1924: n = 6 m = 1, ms = 10, mst = a[0..3][0..0]
1925: n = 3 m = 3, ms = 6, mst = a[1..2][0..1]
1926: n = 1 m = 4, ms = 0, mst = a[0..0][2..2]
1927: n = 2 m = 4, ms = 3, mst = a[1..1][0..1]
1928: n = 9 m = 1, ms = 11, mst = a[0..8][0..0]
1929: n = 7 m = 9, ms = 27, mst = a[2..6][1..3]
1930: n = 9 m = 3, ms = 11, mst = a[6..8][1..2]
1931: n = 6 m = 10, ms = 27, mst = a[0..4][0..4]
1932: n = 10 m = 4, ms = 19, mst = a[3..6][0..3]
1933: n = 3 m = 10, ms = 8, mst = a[0..1][2..3]
1934: n = 10 m = 2, ms = 16, mst = a[0..9][0..0]
1935: n = 9 m = 3, ms = 8, mst = a[0..1][0..1]
1936: n = 7 m = 3, ms = 9, mst = a[0..2][1..2]
1937: n = 7 m = 4, ms = 12, mst = a[1..6][3..3]
1938: n = 3 m = 10, ms = 9, mst = a[1..2][0..9]
1939: n = 7 m = 8, ms = 19, mst = a[0..6][1..7]
1940: n = 5 m = 1, ms = 4, mst = a[4..4][0..0]
1941: n = 8 m = 2, ms = 8, mst = a[5..6][0..1]
1942: n = 8 m = 10, ms = 13, mst = a[6..6][5..9]
1943: n = 7 m = 4, ms = 22, mst = a[0..6][0..2]
1944: n = 3 m = 4, ms = 7, mst = a[1..2][1..2]
1945: n = 8 m = 3, ms = 12, mst = a[0..3][1..2]
1946: n = 2 m = 4, ms = 1, mst = a[0..0][2..2]
1947: n = 4 m = 3, ms = 7, mst = a[0..2][2..2]
1948: n = 4 m = 5, ms = 24, mst = a[0..3][1..4]
1949: n = 6 m = 10, ms = 17, mst = a[0..2][1..7]
1950: n = 6 m = 5, ms = 12, mst = a[0..5][2..2]
1951: n = 7 m = 4, ms = 14, mst = a[1..5][0..3]
1952: n = 7 m = 3, ms = 10, mst = a[0..4][0..2]
1953: n = 10 m = 1, ms = 17, mst = a[0..9][0..0]
1954: n = 5 m = 4, ms = 13, mst = a[0..2][2..3]
1955: n = 7 m = 9, ms = 33, mst = a[0..5][3..8]
1956: n = 4 m = 2, ms = 6, mst = a[1..2][0..0]
1957: n = 9 m = 5, ms = 31, mst = a[0..4][1..3]
1958: n = 3 m = 6, ms = 15, mst = a[0..1][1..5]
1959: n = 4 m = 10, ms = 31, mst = a[0..3][0..9]
1960: n = 7 m = 1, ms = 7, mst = a[3..5][0..0]
1961: n = 7 m = 6, ms = 20, mst = a[5..6][0..5]
1962: n = 7 m = 2, ms = 6, mst = a[5..6][0..0]
1963: n = 10 m = 4, ms = 9, mst = a[2..2][0..3]
1964: n = 8 m = 5, ms = 14, mst = a[0..4][0..2]
